"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
6765,493,107,0.822,0.44,34.1,0.74,104.6,80.2,5
6766,494,103,0.821,0.45,34.04,0.74,104.2,80.5,4
6767,495,106,0.824,0.45,33.6,0.74,104,80,4
6768,496,96,0.827,0.43,33.79,0.74,103.8,79.1,4
6769,497,72,0.829,0.42,34.44,0.74,103.2,78.1,4
6770,498,131,0.826,0.44,35.65,0.74,102.5,78.4,4
6771,499,98,0.82,0.49,36.58,0.74,102.3,80.8,3
6772,500,129,0.81,0.55,37.9,0.74,102.7,83.8,3
6773,501,100,0.799,0.62,38.94,0.74,102.6,87,3
6774,502,97,0.792,0.67,38.19,0.74,102.5,88.8,3
6775,503,82,0.789,0.69,36.89,0.74,102.5,89.9,3
6845,504,68,0.839,0.48,40.33,0.74,106,83.5,5
6846,505,71,0.843,0.48,38.85,0.74,107,84.2,5
6847,506,93,0.841,0.5,37.23,0.74,107.2,85.1,5
6848,507,109,0.835,0.51,36.04,0.74,106.8,85.1,4
6849,508,90,0.824,0.53,34.77,0.74,104.7,84.6,4
6850,509,147,0.819,0.53,35.56,0.74,103.4,83.6,4
6851,510,141,0.821,0.51,34.96,0.74,102.5,81.7,4
6852,511,129,0.831,0.45,35.25,0.74,102.9,79.3,3
6853,512,132,0.844,0.4,34.94,0.74,103.9,77.5,4
6854,513,149,0.857,0.33,34.22,0.74,105,75.1,3
6855,514,133,0.865,0.29,34.43,0.74,105.9,73.5,3
6856,515,143,0.868,0.28,35.6,0.74,106.6,73.2,3
6857,516,108,0.869,0.28,35.74,0.74,107.4,74.2,3
6858,517,113,0.866,0.29,34.99,0.74,107.6,74.8,2
6859,518,115,0.86,0.31,35.71,0.74,107.6,75.7,3
6860,519,56,0.854,0.34,36.16,0.74,107.4,77.3,3
6861,520,90,0.847,0.37,35.95,0.74,107.3,78.6,3
6862,521,67,0.84,0.39,35.5,0.74,106.9,79.4,4
6863,522,120,0.831,0.41,34.81,0.74,105.6,79.6,4
6864,523,123,0.824,0.44,34.64,0.74,104.5,80.1,4
